city,median_household_income,year
"California-Lexington Park, MD",102859.0,2021
"California-Lexington Park, MD",113668.0,2022
"Canton-Massillon, OH",47132.0,2015
"Canton-Massillon, OH",48705.0,2016
"Canton-Massillon, OH",50217.0,2017
"Canton-Massillon, OH",52205.0,2018
"Canton-Massillon, OH",53978.0,2019
"Canton-Massillon, OH",54854.0,2020
"Canton-Massillon, OH",58001.0,2021
"Canton-Massillon, OH",62859.0,2022
"Canton-Massillon, OH",65666.0,2023
"Canton-Massillon, OH",67801.0,2024
"Cape Coral-Fort Myers, FL",48537.0,2015
"Cape Coral-Fort Myers, FL",50390.0,2016
"Cape Coral-Fort Myers, FL",52052.0,2017
"Cape Coral-Fort Myers, FL",54691.0,2018
"Cape Coral-Fort Myers, FL",57832.0,2019
"Cape Coral-Fort Myers, FL",59608.0,2020
"Cape Coral-Fort Myers, FL",63235.0,2021
"Cape Coral-Fort Myers, FL",69368.0,2022
"Cape Coral-Fort Myers, FL",73099.0,2023
"Cape Coral-Fort Myers, FL",76107.0,2024
"Cape Girardeau, MO-IL",43034.0,2015
"Cape Girardeau, MO-IL",45728.0,2016
"Cape Girardeau, MO-IL",46872.0,2017
"Cape Girardeau, MO-IL",49419.0,2018
"Cape Girardeau, MO-IL",51429.0,2019
"Cape Girardeau, MO-IL",51428.0,2020
"Cape Girardeau, MO-IL",57051.0,2021
"Cape Girardeau, MO-IL",62671.0,2022
"Cape Girardeau, MO-IL",67267.0,2023
"Cape Girardeau, MO-IL",66759.0,2024
"Carbondale-Marion, IL",40071.0,2015
"Carbondale-Marion, IL",40630.0,2016
"Carbondale-Marion, IL",42407.0,2017
"Carbondale-Marion, IL",43587.0,2018
"Carbondale-Marion, IL",45052.0,2019
"Carbondale-Marion, IL",46563.0,2020
"Carbondale-Marion, IL",49067.0,2021
"Carbondale-Marion, IL",53747.0,2022
"Carson City, NV",47668.0,2015
"Carson City, NV",47948.0,2016
"Carson City, NV",49341.0,2017
"Carson City, NV",52034.0,2018
"Carson City, NV",55718.0,2019
"Carson City, NV",58305.0,2020
"Carson City, NV",62217.0,2021
"Carson City, NV",67465.0,2022
"Carson City, NV",71809.0,2023
"Carson City, NV",72355.0,2024
"Casper, WY",56871.0,2015
"Casper, WY",56983.0,2016
"Casper, WY",59400.0,2017
"Casper, WY",60550.0,2018
"Casper, WY",62772.0,2019
"Casper, WY",62168.0,2020
"Casper, WY",64100.0,2021
"Casper, WY",69104.0,2022
"Casper, WY",71247.0,2023
"Casper, WY",72156.0,2024
"Cedar Rapids, IA",59032.0,2015
"Cedar Rapids, IA",60537.0,2016
"Cedar Rapids, IA",62399.0,2017
"Cedar Rapids, IA",64218.0,2018
"Cedar Rapids, IA",64687.0,2019
"Cedar Rapids, IA",66620.0,2020
"Cedar Rapids, IA",70210.0,2021
"Cedar Rapids, IA",75477.0,2022
"Cedar Rapids, IA",77084.0,2023
"Cedar Rapids, IA",78080.0,2024
"Chambersburg, PA",74946.0,2023
"Chambersburg, PA",77003.0,2024
"Chambersburg-Waynesboro, PA",53916.0,2015
"Chambersburg-Waynesboro, PA",55751.0,2016
"Chambersburg-Waynesboro, PA",58267.0,2017
"Chambersburg-Waynesboro, PA",59713.0,2018
"Chambersburg-Waynesboro, PA",63379.0,2019
"Chambersburg-Waynesboro, PA",63420.0,2020
"Chambersburg-Waynesboro, PA",66329.0,2021
"Chambersburg-Waynesboro, PA",71808.0,2022
"Champaign-Urbana, IL",48323.0,2015
"Champaign-Urbana, IL",50268.0,2016
"Champaign-Urbana, IL",50720.0,2017
"Champaign-Urbana, IL",52581.0,2018
"Champaign-Urbana, IL",53641.0,2019
"Champaign-Urbana, IL",54897.0,2020
"Champaign-Urbana, IL",58102.0,2021
"Champaign-Urbana, IL",62281.0,2022
"Champaign-Urbana, IL",64558.0,2023
"Champaign-Urbana, IL",65528.0,2024
"Charleston, WV",44666.0,2015
"Charleston, WV",45176.0,2016
"Charleston, WV",45155.0,2017
"Charleston, WV",44096.0,2018
"Charleston, WV",45225.0,2019
"Charleston, WV",46099.0,2020
"Charleston, WV",49832.0,2021
"Charleston, WV",54473.0,2022
"Charleston, WV",58089.0,2023
"Charleston, WV",60117.0,2024
"Charleston-North Charleston, SC",53447.0,2015
"Charleston-North Charleston, SC",55125.0,2016
"Charleston-North Charleston, SC",57666.0,2017
"Charleston-North Charleston, SC",60884.0,2018
"Charleston-North Charleston, SC",63649.0,2019
"Charleston-North Charleston, SC",65894.0,2020
"Charleston-North Charleston, SC",70275.0,2021
"Charleston-North Charleston, SC",77460.0,2022
"Charleston-North Charleston, SC",82272.0,2023
"Charleston-North Charleston, SC",85254.0,2024
"Charlotte-Concord-Gastonia, NC-SC",53076.0,2015
"Charlotte-Concord-Gastonia, NC-SC",55191.0,2016
